silo_name,treat,common_treatment_time,start_time,end_time,weights,diff_estimate,diff_var,diff_estimate_covariates,diff_var_covariates,covariates,date_format,freq,n,n_t,anonymize_size
59,1,1997,1989,2000,both,missing,missing,missing,missing,asian;black;male,yyyy,1 year,NA,NA,NA
23,0,1997,1989,2000,both,missing,missing,missing,missing,asian;black;male,yyyy,1 year,NA,NA,NA
85,1,1997,1989,2000,both,missing,missing,missing,missing,asian;black;male,yyyy,1 year,NA,NA,NA
86,0,1997,1989,2000,both,missing,missing,missing,missing,asian;black;male,yyyy,1 year,NA,NA,NA
11,0,1997,1989,2000,both,missing,missing,missing,missing,asian;black;male,yyyy,1 year,NA,NA,NA
95,0,1997,1989,2000,both,missing,missing,missing,missing,asian;black;male,yyyy,1 year,NA,NA,NA
14,0,1997,1989,2000,both,missing,missing,missing,missing,asian;black;male,yyyy,1 year,NA,NA,NA
12,0,1997,1989,2000,both,missing,missing,missing,missing,asian;black;male,yyyy,1 year,NA,NA,NA
13,0,1997,1989,2000,both,missing,missing,missing,missing,asian;black;male,yyyy,1 year,NA,NA,NA
15,0,1997,1989,2000,both,missing,missing,missing,missing,asian;black;male,yyyy,1 year,NA,NA,NA
